Funder,Funder Link,2018,2019,2020,OverallAvailable
Danish National Research Foundation - cached,https://www.dg.dk/filer/fonden/open_access/Final%20Open%20Access%20policy%20English.pdf,88%,88%,86%,87%
US Geological Survey - cached,https://prd-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/atoms/files/USGS-PublicAccessPlan-APPROVED-v1-03.pdf,83%,81%,76%,80%
"Ministry of Education, Science and Technological Development of the Republic of Serbia - cached",http://open.ac.rs/svevesti/87328781babfe70aad60429fad8f4feb/Open-Science-Policy-Serbia.pdf,67%,75%,73%,75%
"National Research Foundation, Singapore - cached",https://www.nrf.gov.sg/docs/default-source/default-document-library/annex-a---general-template-of-tncs-for-competitive-grants.pdf,69%,70%,71%,69%
"A*Star, Singapore - cached",https://www.a-star.edu.sg/docs/librariesprovider1/default-document-library/research/funding-opportunities/astar-grants-terms-and-conditions-2020.pdf,68%,68%,67%,68%
US National Institute of Standards and Technology - cached,https://www.nist.gov/system/files/documents/2018/06/19/final_pr_5702.01_0.pdf,83%,83%,82%,82%
Fraunhofer-Gesellschaft - cached,https://www.fraunhofer.de/content/dam/zv/en/documents/OpenAccessPolicy_tcm63-828.pdf,60%,64%,71%,62%
"Swedish Council for Health, Labor and Welfare - cached",/mandates/forte_se-2018-01-28-en.pdf,81%,83%,86%,81%
US Agency for Healthcare Research and Quality - cached,https://www.ahrq.gov/funding/policies/publicaccess/,73%,73%,71%,72%
US Department of Transportation - cached,https://www.transportation.gov/sites/dot.gov/files/docs/Official%20DOT%20Public%20Access%20Plan%20ver%201.1.pdf,76%,74%,71%,75%
US Environmental Protection Agency - cached,https://www.epa.gov/sites/production/files/2016-12/documents/epascientificresearchtransperancyplan.pdf,77%,77%,75%,76%
Genome Canada - cached,https://www.genomecanada.ca/sites/default/files/pdf/en/AccessResearchPublicationsPolicy.pdf,82%,84%,84%,83%
Smithsonian Institution - cached,http://public.media.smithsonianmag.com/file_upload_plugin/1f143b54-a9f9-4746-bef5-1c76151e3c7a.pdf,88%,86%,86%,86%
Scientific and Technological Research Council of Turkey - cached,https://acikveri.ulakbim.gov.tr/wp-content/uploads/2019/03/TUBITAK-Open-Sciency-Policy.pdf,-,-,64%,62%
UK Arts & Humanities Research Council - cached,https://www.ukri.org/wp-content/uploads/2020/10/UKRI-020920-OpenAccessPolicy.pdf,83%,79%,79%,77%
US Agency for International Development - cached,https://www.usaid.gov/sites/default/files/documents/15396/USAID_PublicAccessPlan.pdf,88%,85%,86%,86%
World Health Organization - cached,/mandates/who_2018-01-28.pdf,86%,87%,89%,87%
Heart and Stroke Foundation of Canada - cached,https://www.heartandstroke.ca/-/media/research/docs/heart--stroke--open-access-to-research-outputs-policy--guidelines.ashx?rev=d2ab8ccd46e8414485b435eca99939c6,73%,73%,74%,74%
US Institute of Education Sciences - cached,https://ies.ed.gov/funding/researchaccess.asp,78%,78%,73%,76%
John D. and Catherine T. MacArthur Foundation - cached,https://www.macfound.org/about/our-policies/intellectual-property/,82%,81%,80%,82%
"Chief Scientist Office, Scottish Executive - cached",https://www.cso.scot.nhs.uk/outputs/cso-open-access-policy/,93%,92%,91%,82%
CGIAR - cached,https://cgspace.cgiar.org/bitstream/handle/10947/4488/Open%20Access%20Data%20Management%20Policy.pdf?sequence=1&isAllowed=y,88%,89%,92%,89%
Fondazione Telethon - cached,https://www.telethon.it/en/what-we-do/supporting-research-and-patients/supporting-research/open-access/open-access-policy/,80%,83%,84%,83%
Human Frontier Science Program - cached,https://www.hfsp.org/sites/default/files/HFSP-OA-04042014_3.pdf,89%,90%,90%,88%
Volkswagen Foundation - cached,https://www.volkswagenstiftung.de/sites/default/files/downloads/funding_principles_2014.pdf,74%,78%,80%,78%
Irish Research Council - cached,https://research.ie/assets/uploads/2017/05/IRC_Open_Access_Policy_Final.pdf,74%,74%,76%,75%
Innovation Fund Denmark - cached,https://innovationsfonden.dk/sites/default/files/2019-02/gs19_open-access-policy-for-public-research-councils-and-foundations.pdf,74%,76%,70%,72%
Finnish Funding Agency for Innovation - cached,/mandates/tekes_fi-2018-01-28-fi.pdf,72%,81%,83%,69%
"Versus Arthritis, UK - cached",https://www.versusarthritis.org/research/information-for-researchers/information-for-research-award-holders/open-access-and-travel-support/,94%,92%,91%,84%
"National Office for Research, Development and Innovation, Hungary - cached",https://nih.gov.hu/download.php?docID=31469,88%,89%,92%,90%
Gordon and Betty Moore Foundation - cached,https://www.moore.org/docs/default-source/Grantee-Resources/open-access-policy-2017.pdf,91%,91%,92%,91%
Dutch Cancer Society - cached,https://www.kwf.nl/onderzoek/financieringsinformatie/open-access,86%,88%,91%,87%
Fondazione Cariplo - cached,http://www.fondazionecariplo.it/static/upload/pol/policy_open_access_en.pdf,73%,78%,79%,75%
"National Medical Research Council, Singapore - cached",https://www.nmrc.gov.sg/docs/default-source/policies-and-guidelines-library/nmrc-research-grant-terms-and-conditions55c115a14a90471a8c38c925765fe8df.pdf,78%,79%,79%,78%
Villum Foundation - cached,https://veluxfoundations.dk/en/open-acces-engelsk,87%,88%,85%,85%
Danish Council for Strategic Research - cached,https://www.dg.dk/filer/fonden/open_access/Final%20Open%20Access%20policy%20English.pdf,75%,72%,74%,72%
"International Development Research Centre, Canada - cached",https://www.idrc.ca/en/open-access-policy-idrc-funded-project-outputs,87%,81%,83%,84%
Swiss Cancer League - cached,https://www.krebsforschung.ch/forschungsfoerderung/wie-reiche-ich-ein-forschungsgesuch-ein/-dl-/fileadmin/downloads/forschungsfoerderung/information-sheet-grants-KFS.pdf,84%,88%,89%,85%
Belgian Science Policy Office - cached,https://www.belspo.be/belspo/openscience/POLICY/StratOA20171220_Combo_en.pdf,87%,89%,88%,88%
State of Califonia - cached,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=201720180AB2192&version=20170AB219293CHP,-,81%,80%,80%
"Health Research Board, Ireland - cached",https://www.hrb.ie/fileadmin/1._Non-plugin_related_files/RSF_files/Policies_and_principles/Grant_Policies/HRB_Policy_on_Open_Access.pdf,79%,81%,83%,80%
Juvenile Diabetes Research Foundation - cached,https://grantcenter.jdrf.org/information-for-awardees/admin-resources/,88%,85%,85%,87%
Patient-Centered Outcomes Research Institute - cached,https://www.pcori.org/sites/default/files/PCORI-Policy-Public-Access-to-Journal-Articles-Presenting-Findings-from-PCORI-funded-Research.pdf,75%,73%,73%,74%
Royal Netherlands Academy of Arts and Sciences - cached,https://knaw.nl/en/topics/openscience/open-publications/open-access-dos-and-donts-for-knaw-researchers,89%,90%,88%,87%
Ford Foundation - cached,https://www.fordfoundation.org/the-latest/news/ford-foundation-expands-creative-commons-licensing-for-all-grant-funded-projects/,77%,69%,78%,72%
Doris Duke Charitable Foundation - cached,https://www.ddcf.org/globalassets/medicalresearch/ddcf-med-research-policies-guidelines.pdf,87%,87%,88%,87%
Canadian Cancer Society - cached,https://www.cancer.ca/en/research/policies-and-administration/policies/open-access-policy/,76%,77%,74%,77%
Research Council of Lithuania - cached,https://www.e-tar.lt/rs/legalact/dceeeb10e05711e59cc8b27b54efaf6e/format/ISO_PDF/,65%,69%,72%,69%
Dutch Heart Foundation - cached,https://www.hartstichting.nl/getmedia/2b910f91-e4b9-4019-aff9-7e9a9b4bcccb/subsidievoorwaarden-hartstichting-2016.pdf,91%,88%,90%,89%
Luxembourg National Research Fund - cached,https://storage.fnr.lu/index.php/s/9k72EH61fXGL9oX/download,80%,85%,86%,85%
Danish Council for Technology and Innovation - cached,https://www.dg.dk/filer/fonden/open_access/Final%20Open%20Access%20policy%20English.pdf,74%,75%,69%,70%
AIRC Foundation for Cancer Research in Italy - cached,https://www.direzionescientifica.airc.it/wp-content/uploads/2020/01/Open_access_statement_En.pdf,-,89%,84%,84%
"Academy of Medical Sciences, UK - cached",https://acmedsci.ac.uk/file-download/38304-57dbc41c3335b.pdf,84%,82%,85%,85%
Fonds de recherche du Québec - Nature et technologies - cached,http://www.frqs.gouv.qc.ca/documents/10191/539200/Politique-libre-acces_EN_avril19.pdf/11c5654e-c748-4065-8208-b74ccff9cd8f,-,69%,68%,69%
US Department of Homeland Security - cached,https://www.dhs.gov/sites/default/files/publications/DHS%20Public%20Access%20Plan%20-%20FINAL_161229-508.pdf,75%,75%,75%,74%
"Leducq Foundation, USA - cached",https://www.fondationleducq.org/wp-content/uploads/2016/06/Leducq-Research-Agreement-2016-A4.pdf,87%,92%,93%,90%
European Molecular Biology Laboratory - cached,https://www.embl.de/services/library/open-access-information/open-access-at-embl/IP-66-EMBL-Open-Access-Policy.pdf,93%,94%,92%,91%
Robert Wood Johnson Foundation - cached,https://www.rwjf.org/en/about-rwjf/our-policies/policy-for-open-access.html,-,74%,76%,69%
Bank of Sweden Tercentenary Foundation - cached,https://www.rj.se/en/about-rj2/work-methods/guidelines-for-open-access/,84%,85%,84%,78%
Icelandic Centre for Research - cached,https://en.rannis.is/activities/open-access/,73%,77%,76%,74%
Leibniz Association - cached,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,81%,84%,88%,83%
"Higher Education Authority, Ireland - cached",https://enterprise.gov.ie/en/Publications/Publication-files/National-Framework-on-the-Transition-to-an-Open-Research-Environment.pdf,72%,71%,79%,74%
Michael Smith Foundation for Health Research - cached,https://www.msfhr.org/sites/default/files/2016_Scholar_Conditions_of_Award.pdf,79%,71%,72%,74%
"Autism Speaks Inc, USA - cached",https://www.autismspeaks.org/sites/default/files/2018-09/treatment-grant-request-for-applications.pdf,78%,81%,76%,82%
"Cancer Prevention Research Institute of Texas, USA - cached",https://www.cprit.state.tx.us/media/2030/policy_and_procedure_guide_062019.pdf,-,90%,90%,88%
Hewlett Foundation - cached,https://www.hewlett.org/helping-good-ideas-go-further/,87%,86%,84%,86%
Alzheimers's UK - cached,https://www.alzheimers.org.uk/sites/default/files/2020-10/AS_open-access-policy.pdf,94%,93%,94%,93%
US Office of the Director of National Intelligence - cached,https://www.iarpa.gov/images/files/Documents/ODNI%20Public%20Access%20Plan_Sept%202016.pdf,88%,85%,90%,87%
Business Finland - cached,https://www.businessfinland.fi/globalassets/finnish-customers/01-funding/04-research-organization/business_finland_requires_open_science_020218.pdf,78%,84%,83%,84%
Canada First Research Excellence Fund - cached,http://www.science.gc.ca/eic/site/063.nsf/eng/h_F6765465.html,77%,72%,75%,75%
Carlsberg Foundation DK - cached,https://www.carlsbergfondet.dk/en/Grant-holder/Politikker/Open-Access-policy,80%,81%,80%,80%
Ontario Institute for Cancer Research - cached,http://www.science.gc.ca/eic/site/063.nsf/eng/h_F6765465.html,86%,86%,83%,80%
"Department of Agriculture, Food and the Marine, Ireland - cached",https://assets.gov.ie/118822/f83a8ab4-dd0d-4f0e-940f-ecb2700a6759.pdf,88%,86%,89%,83%
"Stroke Association, UK - cached",https://www.stroke.org.uk/sites/default/files/form_pg6_project_grant_conditions_of_award_2015_16_1.pdf,60%,78%,86%,71%
Chan Zuckerberg Initiative - cached,https://chanzuckerberg.com/science/our-values-approach/,-,95%,91%,89%
Damon Runyon Cancer Research Foundation - cached,https://www.damonrunyon.org/sites/default/files/Frey%20Award%20Statement%20-%20June%202019_3.pdf,90%,93%,90%,92%
Diabetes UK - cached,https://www.diabetes.org.uk/resources-s3/2017-09/policy%2520-%2520open%2520access%2520-%2520nov%25202014.docx,91%,89%,90%,90%
Parkinson's UK - cached,https://www.parkinsons.org.uk/sites/default/files/2020-11/Open%20Access%20policy%20and%20FAQs%20November%202020%20%281%29.pdf,89%,90%,89%,83%
Swedish Foundation for Strategic Environmental Research - cached,https://www.mistra.org/en/about-mistra/how-we-work/,85%,79%,85%,80%
Michael J Fox Foundation - cached,https://www.michaeljfox.org/sites/default/files/media/document/MJFF%20Open%20Access%20Publication%20Policy_0.pdf,-,-,80%,77%
Swedish Environmental Protection Agency - cached,http://www.swedishepa.se/upload/stod-i-miljoarbetet/forskare-och-granskare/granska-ansokningar/instructions-for-applicants-prisma-2020-final.pdf,81%,87%,87%,82%
"Cancer Research Institute, USA - cached",https://www.cancerresearch.org/CRI/media/PDF-Content/CLIP-Terms-and-Conditions.pdf,85%,85%,84%,85%
"AXA Research Fund, France - cached",https://arfv2.cdn.axa-contento-118412.eu/arfv2%2Fa29a5cf8-3514-4e98-a756-e89d277c4a25_open+acess+policy.pdf,85%,89%,87%,87%
"V Foundation, USA - cached",https://www.v.org/wp-content/uploads/2015/02/Public-Access-Policy-TVF.pdf,92%,94%,93%,93%
"Parkinson's Foundation, USA - cached",https://www.parkinson.org/research/Grant-Opportunities/Public-Access-Policy,76%,74%,79%,76%
US Administration for Community Living - cached,https://www.acl.gov/sites/default/files/about-acl/2017-06/ACL-PublicAcccessPlan-UpdatedJune2017.pdf,66%,59%,64%,63%
"Dunhill Medical Trust, UK - cached",https://dunhillmedical.org.uk/wp-content/uploads/2016/12/OA-policy_July14.pdf,95%,88%,97%,87%
Wellcome Trust/DBT India Alliance - cached,https://indiaalliance.s3.ap-south-1.amazonaws.com/erhvbdkdymcpovk1596526960856.pdf,85%,87%,87%,84%
Danish National Advanced Technology Foundation - cached,https://www.dg.dk/filer/fonden/open_access/Final%20Open%20Access%20policy%20English.pdf,60%,81%,81%,66%
Arnold Ventures LLC - cached,https://www.arnoldventures.org/guidelines-for-investments-in-research/,-,-,75%,69%
"Ministry of Health, Singapore - cached",https://www.moh.gov.sg/docs/librariesprovider5/research-grants/terms-and-conditions-of-a-competitive-grant_tcmrg-(jan-2017).pdf,79%,80%,86%,82%
"Breast Cancer Now, UK - cached",https://breastcancernow.org/sites/default/files/revised_bcn_open_access_policy_sept_16_0.pdf,96%,93%,93%,92%
Blood Cancer UK - cached,https://bloodcancer.org.uk/research/open-access/,92%,93%,91%,92%
Nordforsk - cached,https://www.nordforsk.org/sites/default/files/documents/2020/Standard%20Terms%20and%20Conditions.pdf,-,85%,82%,83%
Marianne and Marcus Wallenberg Foundation - cached,https://mmw.wallenberg.org/en/funding-guide,80%,84%,86%,84%
"Worldwide Cancer Research, UK - cached",https://www.worldwidecancerresearch.org/media/1589/20191001openaccesspolicyfinal.pdf,83%,89%,90%,87%
Fonds de recherche du Quebec Societe et culture - cached,http://www.frqs.gouv.qc.ca/documents/10191/539200/Politique-libre-acces_EN_avril19.pdf/11c5654e-c748-4065-8208-b74ccff9cd8f,-,63%,73%,70%
African Academy of Sciences - cached,https://www.aasciences.africa/policies/open-access-and-publishing-policy,-,-,94%,93%
"Health Data Research, UK - cached",https://www.hdruk.ac.uk/about-us/policies/open-access-statement/,96%,93%,97%,96%
"Motor Neurone Disease Association, UK - cached",https://www.mndassociation.org/research/for-researchers/resources-for-researchers/europe-pmc-open-access/,91%,91%,92%,88%
"Florida Department of Health, USA - cached",http://www.floridahealth.gov/provider-and-partner-resources/research/Grant%20Manual%20FINAL.pdf,86%,89%,81%,83%
Prostate Cancer Canada - cached,https://www.prostatecancer.ca/Research/Grants-and-Awards-Guide/Policies-for-Research-Grants-and-Awards,67%,75%,67%,74%
"Arcadia Fund, UK - cached",https://www.arcadiafund.org.uk/open-access-digital-preservation-policy,78%,85%,77%,78%
"Medical Research Future Fund, Australia - cached",https://business.gov.au/-/media/grants-and-programs/mrff-atsmb/mrff-atsmb-grant-opportunity-guidelines-pdf.ashx,84%,71%,76%,76%
Multiple Sclerosis Society of Canada - cached,https://mssociety.ca/library/document/Ue1EAmktGxz6lyHgFKhfQSD3LXsnqVdO/original.pdf,64%,66%,64%,68%
"Environmental Protection Agency, Ireland - cached",http://www.epa.ie/pubs/reports/research/opencalls/currentcalldocuments/EPA_Research_2019_Call_-_Guide_for_Grantees.pdf,72%,81%,79%,77%
Canadian Foundation for Healthcare Improvement - cached,/mandates/cfhi_ca-2018-01-28-en.pdf,87%,78%,67%,78%
"Yorkshire Cancer Research, UK - cached",https://www.yorkshirecancerresearch.org.uk/perch/resources/admin/policies-for-awards-2021-final.pdf,99%,99%,90%,93%
"Multiple Sclerosis Society, UK - cached",https://www.mssociety.org.uk/sites/default/files/2020-09/Award-conditions-and-policies.pdf,86%,92%,91%,86%
Swiss Cancer Foundation - cached,https://www.krebsforschung.ch/forschungsfoerderung/wie-reiche-ich-ein-forschungsgesuch-ein/-dl-/fileadmin/downloads/forschungsfoerderung/information-sheet-grants-KFS.pdf,87%,86%,85%,85%
"Lymphoma Research Foundation, USA - cached",https://lymphoma.org/wp-content/uploads/2018/05/LRF-Master-Policy-TC-Research-Grants-generic-2019.pdf,91%,87%,84%,90%
"Pancreatic Cancer Action Network, USA - cached",https://www.pancan.org/wp-content/uploads/2014/04/Public-Access-Publication-Policy.pdf,92%,92%,87%,90%
Champalimaud Foundation - cached,http://neuro.fchampalimaud.org/media/cms_page_media/692/027.%20Open%20Access%20Policy_4June2015_1.pdf,90%,82%,82%,87%
Alex's Lemonade Stand - cached,https://www.alexslemonade.org/sites/default/files/images/2020/alsf_resource_sharing_policy.pdf,-,-,89%,81%
US Assistant Secretary for Preparedness and Response - cached,http://www.phe.gov/Preparedness/planning/science/Documents/AccessPlan.pdf,70%,74%,81%,78%
Swedish National Space Agency - cached,https://www.rymdstyrelsen.se/contentassets/4e7109961dbf4b5abd71c40914e060db/research-calls-in-spring-2019.pdf,-,94%,93%,92%
Coalition for Epidemic Preparedness Innovations - cached,https://cepi.net/wp-content/uploads/2019/03/CfP3-TEMPLATE-Funding-Agreement-and-Terms-and-Conditions-.docx,-,74%,91%,90%
"World Cancer Researh Fund, UK - cached",https://www.wcrf.org/sites/default/files/wcrf-grants-terms-conditions-2019.pdf,-,88%,93%,86%
"European Hematology Association, Netherlands - cached",https://ehaweb.org/assets/EHA-Research-Grants-Terms-Conditions-2020.pdf,91%,65%,86%,77%
"Action on Hearing Loss, UK - cached",/mandates/actionhearing_uk-2018-01-28.pdf,92%,91%,93%,87%
"National Centre for the Replacement, Refinement and Reduction of Animals in Research, UK - cached",https://www.nc3rs.org.uk/grant-holder-information,94%,95%,85%,94%
Marcus and Amalia Wallenberg Foundation - cached,https://maw.wallenberg.org/en/funding-guide,86%,81%,95%,86%
"Chilren's Tumor Foundation, USA - cached",https://docs.google.com/document/d/11ZxqnX8E8_boLyCd1uh364wKOktQNyBlLQoIm4vPMDM/edit,86%,83%,89%,87%
Foundation for Baltic and East European Studies - cached,https://ostersjostiftelsen.se/en/for-researchers/open-access/,74%,74%,83%,75%
